datetime,wind_kph,wind_degree,wind_dir,gust_kph,wind_ms,gust_ms
2023-02-21 00:00,1.1,157,SSE,1.4,0.31,0.39
2023-02-21 01:00,2.2,89,E,3.2,0.61,0.89
2023-02-21 02:00,2.5,91,E,3.6,0.69,1.0
2023-02-21 03:00,4.3,88,E,6.5,1.19,1.81
2023-02-21 04:00,5.8,104,ESE,8.6,1.61,2.39
2023-02-21 05:00,7.2,113,ESE,10.8,2.0,3.0
2023-02-21 06:00,8.6,109,ESE,13.3,2.39,3.69
2023-02-21 07:00,9.0,113,ESE,13.7,2.5,3.81
2023-02-21 08:00,9.4,115,ESE,14.8,2.61,4.11
2023-02-21 09:00,10.4,121,ESE,15.8,2.89,4.39
2023-02-21 10:00,10.4,124,SE,15.8,2.89,4.39
2023-02-21 11:00,9.7,129,SE,13.3,2.69,3.69
2023-02-21 12:00,9.0,127,SE,10.4,2.5,2.89
2023-02-21 13:00,6.5,140,SE,10.1,1.81,2.81
2023-02-21 14:00,4.3,143,SE,7.2,1.19,2.0
2023-02-21 15:00,3.2,143,SE,5.4,0.89,1.5
2023-02-21 16:00,5.4,98,E,9.4,1.5,2.61
2023-02-21 17:00,2.9,129,SE,5.0,0.81,1.39
2023-02-21 18:00,0.7,110,ESE,1.4,0.19,0.39
2023-02-21 19:00,5.8,136,SE,10.8,1.61,3.0
2023-02-21 20:00,9.0,157,SSE,16.6,2.5,4.61
2023-02-21 21:00,10.1,164,SSE,19.1,2.81,5.31
2023-02-21 22:00,10.1,154,SSE,19.4,2.81,5.39
2023-02-21 23:00,16.2,183,S,27.7,4.5,7.69
2023-02-22 00:00,15.1,188,S,27.4,4.19,7.61
2023-02-22 01:00,13.0,194,SSW,25.2,3.61,7.0
2023-02-22 02:00,15.1,188,S,26.6,4.19,7.39
2023-02-22 03:00,14.0,191,SSW,24.8,3.89,6.89
2023-02-22 04:00,15.5,192,SSW,27.0,4.31,7.5
2023-02-22 05:00,15.8,198,SSW,26.3,4.39,7.31
2023-02-22 06:00,18.0,210,SSW,28.8,5.0,8.0
2023-02-22 07:00,19.4,217,SW,30.6,5.39,8.5
2023-02-22 08:00,19.4,224,SW,31.0,5.39,8.61
2023-02-22 09:00,19.1,226,SW,30.2,5.31,8.39
2023-02-22 10:00,19.8,228,SW,29.5,5.5,8.19
2023-02-22 11:00,18.7,228,SW,27.7,5.19,7.69
2023-02-22 12:00,18.4,230,SW,27.4,5.11,7.61
2023-02-22 13:00,18.7,232,SW,27.7,5.19,7.69
2023-02-22 14:00,18.0,239,WSW,27.0,5.0,7.5
2023-02-22 15:00,22.3,268,W,31.7,6.19,8.81
2023-02-22 16:00,26.6,294,WNW,35.6,7.39,9.89
2023-02-22 17:00,22.7,289,WNW,30.2,6.31,8.39
2023-02-22 18:00,26.3,290,WNW,35.6,7.31,9.89
2023-02-22 19:00,28.1,311,NW,38.5,7.81,10.69
2023-02-22 20:00,26.3,322,NW,37.8,7.31,10.5
2023-02-22 21:00,25.9,335,NNW,37.4,7.19,10.39
2023-02-22 22:00,25.2,338,NNW,36.4,7.0,10.11
2023-02-22 23:00,24.1,344,NNW,34.9,6.69,9.69
2023-02-23 00:00,23.0,346,NNW,34.9,6.39,9.69
2023-02-23 01:00,22.7,348,NNW,34.9,6.31,9.69
2023-02-23 02:00,23.8,346,NNW,36.4,6.61,10.11
2023-02-23 03:00,23.8,351,N,36.0,6.61,10.0
2023-02-23 04:00,23.0,355,N,34.6,6.39,9.61
2023-02-23 05:00,22.3,1,N,33.8,6.19,9.39
2023-02-23 06:00,24.1,10,N,36.0,6.69,10.0
2023-02-23 07:00,23.8,18,NNE,35.3,6.61,9.81
2023-02-23 08:00,28.4,21,NNE,41.0,7.89,11.39
2023-02-23 09:00,26.6,25,NNE,38.5,7.39,10.69
2023-02-23 10:00,26.6,26,NNE,37.8,7.39,10.5
2023-02-23 11:00,26.3,25,NNE,36.4,7.31,10.11
2023-02-23 12:00,27.0,21,NNE,37.1,7.5,10.31
2023-02-23 13:00,27.4,22,NNE,37.4,7.61,10.39
2023-02-23 14:00,31.3,28,NNE,42.1,8.69,11.69
2023-02-23 15:00,33.1,32,NNE,45.0,9.19,12.5
2023-02-23 16:00,36.4,32,NNE,47.2,10.11,13.11
2023-02-23 17:00,35.3,32,NNE,46.8,9.81,13.0
2023-02-23 18:00,35.3,32,NNE,48.2,9.81,13.39
2023-02-23 19:00,33.5,34,NE,45.4,9.31,12.61
2023-02-23 20:00,32.0,34,NE,46.1,8.89,12.81
2023-02-23 21:00,32.4,33,NNE,47.2,9.0,13.11
2023-02-23 22:00,31.7,37,NE,45.0,8.81,12.5
2023-02-23 23:00,28.1,42,NE,40.3,7.81,11.19
2023-02-24 00:00,27.7,34,NE,42.5,7.69,11.81
2023-02-24 01:00,26.6,35,NE,40.7,7.39,11.31
2023-02-24 02:00,24.5,34,NE,37.8,6.81,10.5
2023-02-24 03:00,22.0,35,NE,34.2,6.11,9.5
2023-02-24 04:00,19.4,31,NNE,30.6,5.39,8.5
2023-02-24 05:00,18.7,25,NNE,29.5,5.19,8.19
2023-02-24 06:00,17.6,19,NNE,28.1,4.89,7.81
2023-02-24 07:00,16.2,12,NNE,25.6,4.5,7.11
2023-02-24 08:00,14.4,10,N,23.0,4.0,6.39
2023-02-24 09:00,13.3,357,N,20.9,3.69,5.81
2023-02-24 10:00,16.2,347,NNW,23.8,4.5,6.61
2023-02-24 11:00,17.6,348,NNW,24.5,4.89,6.81
2023-02-24 12:00,17.6,352,N,24.5,4.89,6.81
2023-02-24 13:00,19.4,5,N,26.3,5.39,7.31
2023-02-24 14:00,19.4,11,NNE,26.3,5.39,7.31
2023-02-24 15:00,19.1,19,NNE,26.3,5.31,7.31
2023-02-24 16:00,19.4,29,NNE,26.6,5.39,7.39
2023-02-24 17:00,18.4,38,NE,24.5,5.11,6.81
2023-02-24 18:00,21.6,39,NE,29.2,6.0,8.11
2023-02-24 19:00,23.0,42,NE,28.8,6.39,8.0
2023-02-24 20:00,21.2,39,NE,33.1,5.89,9.19
2023-02-24 21:00,25.2,46,NE,38.2,7.0,10.61
2023-02-24 22:00,23.0,50,NE,34.9,6.39,9.69
2023-02-24 23:00,21.6,53,NE,32.4,6.0,9.0
2023-02-25 00:00,22.0,52,NE,34.6,6.11,9.61
2023-02-25 01:00,21.6,53,NE,33.8,6.0,9.39
